,Type,Sex,Size,Intake Type,Intake Jurisdiction,PredomBreed,PredomColor,Type Sex,Type Size,Type Intake Type,Type Intake Jurisdiction,Type PredomBreed,Type PredomColor,Sex Size,Sex Intake Type,Sex Intake Jurisdiction,Sex PredomBreed,Sex PredomColor,Size Intake Type,Size Intake Jurisdiction,Size PredomBreed,Size PredomColor,Intake Type Intake Jurisdiction,Intake Type PredomBreed,Intake Type PredomColor,Intake Jurisdiction PredomBreed,Intake Jurisdiction PredomColor,PredomBreed PredomColor,Outcome Type
0,2.0,4.0,4.0,3.0,5.0,6.0,2.0,8.0,8.0,6.0,10.0,12.0,4.0,16.0,12.0,20.0,24.0,8.0,12.0,20.0,24.0,8.0,15.0,18.0,6.0,30.0,10.0,12.0,1
1,0.0,0.0,4.0,4.0,10.0,22.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,40.0,88.0,24.0,40.0,88.0,24.0,220.0,60.0,132.0,1
2,2.0,4.0,4.0,3.0,10.0,6.0,0.0,8.0,8.0,6.0,20.0,12.0,0.0,16.0,12.0,40.0,24.0,0.0,12.0,40.0,24.0,0.0,30.0,18.0,0.0,60.0,0.0,0.0,1
3,0.0,3.0,2.0,2.0,10.0,21.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,30.0,63.0,54.0,4.0,20.0,42.0,36.0,20.0,42.0,36.0,210.0,180.0,378.0,1
4,0.0,0.0,4.0,4.0,10.0,22.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,40.0,88.0,16.0,40.0,88.0,16.0,220.0,40.0,88.0,1
5,0.0,2.0,4.0,4.0,12.0,22.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,24.0,44.0,28.0,16.0,48.0,88.0,56.0,48.0,88.0,56.0,264.0,168.0,308.0,1
6,1.0,2.0,1.0,2.0,10.0,50.0,0.0,2.0,1.0,2.0,10.0,50.0,0.0,2.0,4.0,20.0,100.0,0.0,2.0,10.0,50.0,0.0,20.0,100.0,0.0,500.0,0.0,0.0,1
7,0.0,4.0,0.0,4.0,12.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,48.0,88.0,0.0,0.0,0.0,0.0,0.0,48.0,88.0,0.0,264.0,0.0,0.0,1
8,0.0,4.0,0.0,4.0,12.0,22.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,48.0,88.0,44.0,0.0,0.0,0.0,0.0,48.0,88.0,44.0,264.0,132.0,242.0,1
9,1.0,1.0,1.0,2.0,10.0,42.0,9.0,1.0,1.0,2.0,10.0,42.0,9.0,1.0,2.0,10.0,42.0,9.0,2.0,10.0,42.0,9.0,20.0,84.0,18.0,420.0,90.0,378.0,1
10,0.0,1.0,0.0,4.0,3.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,22.0,0.0,0.0,0.0,0.0,0.0,12.0,88.0,0.0,66.0,0.0,0.0,1
11,0.0,0.0,0.0,4.0,3.0,22.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,88.0,8.0,66.0,6.0,44.0,1
